Time(s)	ADC_Value	RPS	Transition
0.0050	212	0.00000	0
0.0100	211	0.00000	0
0.0150	212	0.00000	0
0.0200	212	0.00000	0
0.0250	212	0.00000	0
0.0300	212	0.00000	0
0.0350	211	0.00000	0
0.0400	212	0.00000	0
0.0450	212	0.00000	0
0.0500	211	0.00000	0
0.0550	212	0.00000	0
0.0600	211	0.00000	0
0.0650	212	0.00000	0
0.0700	212	0.00000	0
0.0750	211	0.00000	0
0.0800	212	0.00000	0
0.0850	212	0.00000	0
0.0900	212	0.00000	1
0.0950	212	0.00000	0
0.1000	212	0.00000	0
0.1050	212	0.00000	0
0.1100	211	0.00000	0
0.1150	212	0.00000	-1
0.1200	212	0.00000	0
0.1250	212	0.00000	0
0.1300	211	0.00000	0
0.1350	211	0.00000	0
0.1400	212	0.00000	0
0.1450	211	0.00000	0
0.1500	212	0.00000	0
0.1550	212	0.00000	0
0.1600	211	0.00000	1
0.1650	212	0.00000	0
0.1700	212	0.00000	0
0.1750	212	0.00000	0
0.1800	212	0.00000	0
0.1850	212	0.00000	0
0.1900	212	0.00000	0
0.1950	211	0.00000	0
0.2000	211	0.00000	-1
0.2050	211	0.00000	0
0.2100	212	0.00000	0
0.2150	212	0.00000	0
0.2200	211	0.00000	0
0.2250	212	0.00000	0
0.2300	211	0.00000	1
0.2350	211	0.00000	0
0.2400	211	0.00000	-1
0.2450	211	0.00000	0
0.2500	212	0.00000	0
0.2550	212	0.00000	0
0.2600	211	0.00000	1
0.2650	211	0.00000	0
0.2700	211	0.00000	0
0.2750	211	0.00000	0
0.2800	212	0.00000	-1
0.2850	211	0.00000	0
0.2900	212	0.00000	0
0.2950	211	0.00000	1
0.3000	211	0.00000	0
0.3050	212	0.00000	0
0.3100	211	0.00000	0
0.3150	212	0.00000	0
0.3200	211	0.00000	0
0.3250	211	0.00000	0
0.3300	212	0.00000	0
0.3350	211	0.00000	0
0.3400	212	0.00000	0
0.3450	211	0.00000	0
0.3500	212	0.00000	0
0.3550	211	0.00000	0
0.3600	211	0.00000	-1
0.3650	212	0.00000	0
0.3700	211	0.00000	0
0.3750	212	0.00000	0
0.3800	212	0.00000	0
0.3850	212	0.00000	1
0.3900	212	0.00000	0
0.3951	211	0.00000	0
0.4001	212	0.00000	0
0.4051	212	0.00000	0
0.4101	211	0.00000	0
0.4151	212	0.00000	-1
0.4201	211	0.00000	0
0.4251	212	0.00000	0
0.4301	212	0.00000	0
0.4351	212	0.00000	0
0.4401	212	0.00000	1
0.4451	212	0.00000	0
0.4501	211	0.00000	0
0.4551	212	0.00000	-1
0.4601	212	0.00000	0
0.4651	212	0.00000	0
0.4701	211	0.00000	0
0.4751	212	0.00000	0
0.4801	212	0.00000	1
0.4851	211	0.00000	0
0.4901	212	0.00000	-1
0.4951	211	0.00000	0
0.5001	211	0.00000	0
0.5051	212	0.00000	0
0.5101	212	0.00000	0
0.5151	212	0.00000	1
0.5201	212	0.00000	0
0.5251	212	0.00000	0
0.5301	212	0.00000	0
0.5351	212	0.00000	0
0.5401	212	0.00000	0
0.5451	213	0.00000	0
0.5501	214	0.00000	0
0.5551	216	0.00000	0
0.5601	217	0.00000	0
0.5651	220	0.00000	0
0.5701	222	0.00000	0
0.5751	225	0.00000	0
0.5801	228	0.00000	0
0.5851	239	0.00000	0
0.5901	264	0.00000	0
0.5951	306	0.00000	0
0.6001	363	0.00000	0
0.6051	433	0.00000	0
0.6101	506	0.00000	0
0.6151	570	0.00000	0
0.6201	617	0.00000	0
0.6251	656	0.00000	0
0.6301	693	0.00000	0
0.6351	718	0.00000	0
0.6401	724	0.00000	0
0.6451	694	0.00000	0
0.6501	632	0.00000	0
0.6551	558	0.00000	-1
0.6601	591	0.00000	0
0.6651	614	0.00000	0
0.6701	611	0.00000	0
0.6751	596	0.00000	0
0.6801	587	0.00000	0
0.6851	569	0.00000	1
0.6901	560	0.00000	0
0.6951	505	0.00000	-1
0.7001	373	0.00000	0
0.7051	291	0.00000	0
0.7101	250	0.00000	0
0.7151	227	0.00000	0
0.7201	215	0.00000	0
0.7251	210	0.00000	0
0.7301	208	0.00000	0
0.7351	204	0.00000	0
0.7401	205	0.00000	0
0.7451	205	0.00000	0
0.7501	204	0.00000	0
0.7551	200	0.00000	0
0.7601	190	0.00000	0
0.7651	191	0.00000	0
0.7701	224	0.00000	0
0.7751	282	0.00000	1
0.7801	367	0.00000	0
0.7851	448	0.00000	0
0.7901	495	0.00000	0
0.7951	539	0.00000	0
0.8001	574	0.00000	0
0.8051	594	0.00000	0
0.8101	619	0.00000	0
0.8151	588	0.00000	0
0.8201	541	0.00000	0
0.8251	493	0.00000	0
0.8301	428	0.00000	-1
0.8351	296	0.00000	0
0.8401	260	0.00000	0
0.8451	237	0.00000	0
0.8501	222	0.00000	0
0.8551	216	0.00000	0
0.8601	209	0.00000	0
0.8651	206	0.00000	0
0.8701	202	0.00000	0
0.8751	205	0.00000	0
0.8801	208	0.00000	0
0.8851	210	0.00000	0
0.8901	215	0.00000	1
0.8951	220	0.00000	0
0.9001	233	0.00000	0
0.9051	284	0.00000	0
0.9101	372	0.00000	0
0.9151	468	0.00000	0
0.9201	541	0.00000	0
0.9251	603	0.00000	0
0.9301	640	0.00000	0
0.9351	617	0.00000	0
0.9401	543	0.00000	0
0.9451	580	0.00000	0
0.9501	591	0.00000	0
0.9551	580	0.00000	-1
0.9601	563	0.00000	0
0.9651	549	0.00000	0
0.9701	452	0.00000	0
0.9751	316	0.00000	0
0.9801	258	0.00000	0
0.9851	226	0.00000	0
0.9901	215	0.00000	0
0.9951	210	0.00000	0
1.0003	206	6.03929	0
1.0053	206	6.03929	0
1.0103	204	6.03929	0
1.0153	201	6.03929	0
1.0203	188	6.03929	0
1.0253	203	6.03929	0
1.0303	253	6.03929	0
1.0353	336	6.03929	1
1.0403	424	6.03929	0
1.0453	478	6.03929	0
1.0503	527	6.03929	0
1.0553	564	6.03929	0
1.0603	595	6.03929	0
1.0653	589	6.03929	0
1.0703	544	6.03929	0
1.0753	493	6.03929	0
1.0803	432	6.03929	-1
1.0853	296	6.03929	0
1.0903	258	6.03929	0
1.0953	234	6.03929	0
1.1003	222	6.03929	0
1.1053	215	6.03929	0
1.1103	208	6.03929	0
1.1153	205	6.03929	0
1.1203	202	6.03929	0
1.1253	205	6.03929	0
1.1303	208	6.03929	0
1.1353	209	6.03929	0
1.1403	213	6.03929	1
1.1453	218	6.03929	0
1.1503	223	6.03929	0
1.1553	239	6.03929	0
1.1603	291	6.03929	0
1.1653	373	6.03929	0
1.1703	466	6.03929	0
1.1753	537	6.03929	0
1.1803	600	6.03929	0
1.1853	648	6.03929	0
1.1903	671	6.03929	0
1.1953	646	6.03929	0
1.2003	567	6.03929	0
1.2053	571	6.03929	0
1.2103	598	6.03929	-1
1.2153	597	6.03929	0
1.2203	584	6.03929	0
1.2253	573	6.03929	0
1.2303	561	6.03929	1
1.2353	534	6.03929	0
1.2403	428	6.03929	-1
1.2453	316	6.03929	0
1.2503	264	4.69648	0
1.2553	237	4.69648	0
1.2603	217	4.69648	0
1.2653	210	4.69648	0
1.2703	209	4.69648	0
1.2753	205	4.69648	0
1.2803	204	4.69648	0
1.2853	204	4.69648	0
1.2903	205	4.69648	0
1.2953	203	4.69648	0
1.3003	198	4.69648	0
1.3053	190	4.69648	0
1.3103	189	4.69648	0
1.3153	219	4.69648	0
1.3203	269	4.69648	1
1.3253	348	4.69648	0
1.3303	423	4.69648	0
1.3353	489	4.69648	0
1.3403	526	4.69648	0
1.3453	562	4.69648	0
1.3503	590	4.69648	0
1.3553	611	4.69648	0
1.3603	629	4.69648	0
1.3653	594	4.69648	0
1.3703	550	4.69648	0
1.3753	501	4.69648	-1
1.3803	462	4.69648	0
1.3853	347	4.69648	0
1.3903	277	4.69648	0
1.3953	250	4.69648	0
1.4003	232	4.69648	0
1.4053	222	4.69648	0
1.4103	216	4.69648	0
1.4153	210	4.69648	0
1.4203	206	4.69648	0
1.4253	202	4.69648	0
1.4303	201	4.69648	0
1.4353	205	4.69648	0
1.4403	207	4.69648	0
1.4453	209	4.69648	0
1.4503	212	4.69648	1
