Time(s), DutyCycle, Angle
0.02, 0.00, 360.00
0.51, 0.00, 360.00
1.01, 0.00, 360.00
1.51, 0.00, 360.00
2.02, 0.00, 360.00
2.51, 0.00, 360.00
3.01, 0.00, 360.00
3.51, 1.20, 21.55
4.01, 1.84, 11.59
4.51, 2.22, 6.82
5.02, 3.61, 25.07
5.51, 4.50, 16.05
6.01, 5.68, 21.20
6.51, 7.00, 23.76
7.01, 8.42, 25.56
7.51, 8.53, 1.97
8.01, 9.69, 20.78
8.51, 10.00, 17.07
9.01, 10.00, 12.99
9.51, 10.00, 16.00
10.01, 10.00, 15.86
Time(s), DutyCycle, Angle
0.02, -0.28, -5.01
0.51, -0.74, -8.37
1.01, -1.68, -16.91
1.52, -2.54, -15.47
2.01, -3.29, -13.54
2.51, -4.18, -15.88
3.01, -4.99, -14.74
3.51, -5.39, -7.19
4.01, -4.12, 22.99
4.51, -3.19, 16.65
5.01, -2.37, 14.83
5.51, -2.69, -5.71
6.01, -2.10, 10.48
6.52, -2.76, -11.75
7.01, -3.58, -14.85
7.51, -4.51, -16.75
8.01, -3.89, 11.12
8.52, -4.55, -11.87
9.01, -5.25, -12.51
9.52, -5.35, -1.86
10.01, -5.81, -8.22
